open_time,open,high,low,close,volume
1755950400000,115266.80,115450.00,114510.00,114776.50,22697.545
1755964800000,114776.40,115166.50,114648.70,115104.90,7958.313
1755979200000,115104.90,115380.00,114957.70,115377.10,5565.713
1755993600000,115377.10,115640.00,114902.00,115006.50,11855.839
1756008000000,115006.50,115264.40,114814.20,114854.80,8290.719
1756022400000,114854.90,115033.40,114574.10,114702.00,10131.968
1756036800000,114701.90,114845.00,114324.90,114372.60,14203.317
1756051200000,114372.70,114914.80,110484.00,112556.40,58915.204
1756065600000,112556.40,113646.50,111555.00,113446.30,29990.955
1756080000000,113446.20,113621.30,112100.20,112867.70,22365.177
1756094400000,112867.80,113022.90,111245.90,111469.70,26547.559
1756108800000,111469.70,111789.90,110891.00,111183.70,27037.380
1756123200000,111183.70,112533.20,110532.20,112142.20,41669.829
1756137600000,112142.20,112897.70,110601.70,110650.40,30479.325
1756152000000,110650.40,111050.00,109219.80,110064.00,56740.515
1756166400000,110064.10,110064.10,108559.70,109825.00,32739.345
1756180800000,109825.10,110508.50,109711.00,110244.20,14571.872
1756195200000,110244.20,110405.60,109529.50,109842.20,13433.107
1756209600000,109842.20,110817.50,109350.00,109624.60,40914.503
1756224000000,109624.60,111106.50,109400.00,111053.50,21525.613
1756238400000,111053.50,112330.00,110855.00,111709.90,21856.998
1756252800000,111710.00,111765.60,110867.10,111373.70,15375.235
1756267200000,111373.80,111700.40,110586.50,110688.00,11788.597
1756281600000,110688.00,111328.90,110306.90,111270.80,12812.348
1756296000000,111270.70,112568.50,110958.20,111965.10,29562.927
1756310400000,111965.00,112550.00,111489.80,112032.80,18174.547
1756324800000,112032.90,112401.50,110854.40,111194.90,26491.468
1756339200000,111194.90,111993.00,110811.00,111954.10,11667.908
1756353600000,111954.00,113318.20,111892.40,113079.20,23087.347
1756368000000,113079.30,113301.60,112780.30,112876.50,10509.946
1756382400000,112876.50,113429.00,112344.40,112633.10,26239.509
1756396800000,112633.10,113153.10,111853.60,111864.70,17144.949
1756411200000,111864.80,112519.10,111829.40,112507.30,8980.618
1756425600000,112507.30,112585.70,111238.50,111648.60,17249.864
1756440000000,111648.60,111797.20,109850.00,109969.00,25126.998
1756454400000,109969.00,110254.90,109360.00,110047.80,23367.603
1756468800000,110047.80,111489.50,108034.10,108334.40,70997.820
1756483200000,108334.40,108777.00,107869.60,108155.50,21364.211
1756497600000,108155.50,108513.00,107411.40,108332.40,21618.676
1756512000000,108332.40,108378.00,107281.00,108367.90,16398.309
1756526400000,108368.00,108615.30,108067.50,108466.60,11466.765
1756540800000,108466.60,108742.90,108359.60,108638.60,9160.751
1756555200000,108638.60,108879.60,108155.00,108809.80,13394.470
